,Account,Text,Date,datetime,compound,neg,neu,pos
113,CBS News,"Sen. Jeff Merkley suggests Supreme Court nominee could ""lock in an anti-American majority"" https://t.co/LjsYAlivek https://t.co/91m7vAkJk7",2018-06-29,2018-06-29 07:19:38-04:00,0.5574,0.0,0.795,0.205
114,CBS News,"The suspect in The Capital newspaper shooting, Jarrod Ramos​, had tried suing the paper for defamation. It publishe… https://t.co/v6T6iUzeor",2018-06-29,2018-06-29 07:18:04-04:00,-0.5106,0.202,0.798,0.0
115,CBS News,"Hours after Thursday’s massacre in Annapolis, police confirmed the identities of the employees who died: Gerald Fis… https://t.co/XnPrdBXEED",2018-06-29,2018-06-29 07:13:55-04:00,-0.5574,0.175,0.825,0.0
116,CBS News,"The suspect in the Capital Gazette shooting will be in court Friday, @NorahODonnell reports. The police chief tells… https://t.co/NoKSZyzmxq",2018-06-29,2018-06-29 07:11:00-04:00,-0.296,0.109,0.891,0.0
117,CBS News,"Just hours after a gunman rampaged through their newsroom, the dedicated staff at the the Capital Gazette published… https://t.co/fb7Z9EC6hD",2018-06-29,2018-06-29 07:08:20-04:00,0.4588,0.0,0.85,0.15
118,CBS News,"""Today, we are speechless"": The Capital Gazette's opinion page is left blank after Thursday's deadly shooting… https://t.co/nyUqTXv4XJ",2018-06-29,2018-06-29 07:00:12-04:00,0.0,0.0,1.0,0.0
119,CBS News,Ahead only on @CBSThisMorning: A former worker recorded scenes inside a facility for immigrant children. She'll tal… https://t.co/X6wcGNuapw,2018-06-29,2018-06-29 06:49:32-04:00,0.0,0.0,1.0,0.0
120,CBS News,Ahead on @CBSThisMorning: We'talk with two New York Times journalists about how life has changed for the accusers w… https://t.co/OPvVbVVMAO,2018-06-29,2018-06-29 06:44:38-04:00,0.0,0.0,1.0,0.0
121,CBS News,"SpaceX boosts station cargo -- and a ""floating brain"" -- to orbit https://t.co/mtWIW50nIJ https://t.co/8T6CynMJvB",2018-06-29,2018-06-29 06:39:43-04:00,0.3182,0.0,0.839,0.161
122,CBS News,"RT @CBSThisMorning: AHEAD on @CBSThisMorning:  @NorahODonnell leads our coverage from Annapolis, Maryland of the Capital Gazette shooting.…",2018-06-29,2018-06-29 06:36:21-04:00,0.0,0.0,1.0,0.0
123,CBS News,"RT @CBSThisMorning: THIS MORNING:
🔜@NorahODonnell is in Annapolis with the latest on the #CapitalGazette shooting
🔜@MichaelAvenatti and for…",2018-06-29,2018-06-29 06:33:24-04:00,0.0,0.0,1.0,0.0
124,CBS News,European Union leaders say they've reached a breakthrough deal on how to deal with the pressures of migration… https://t.co/Opc9lS40ar,2018-06-29,2018-06-29 06:20:05-04:00,-0.2263,0.117,0.812,0.071
125,CBS News,Alaska volcano shows signs of eruption https://t.co/796AbG6cFj https://t.co/N0FWOHbHQb,2018-06-29,2018-06-29 06:03:03-04:00,0.0,0.0,1.0,0.0
126,CBS News,Feds charge 600 in opioid fraud that bilked $2B from government and insurers https://t.co/Va0ugDBh5I https://t.co/7ofgSpdcK3,2018-06-29,2018-06-29 05:48:04-04:00,-0.5859,0.213,0.787,0.0
127,CBS News,Melania Trump makes second solo trip to border https://t.co/t5Br9nZMI0 https://t.co/7CWpdZTt3e,2018-06-29,2018-06-29 05:33:03-04:00,0.0,0.0,1.0,0.0
128,CBS News,"Jamberry, the nail wrap seller, shuts down, leaves thousands of sales reps in a jam https://t.co/SjrAnizN7e https://t.co/aFFQG4IzZR",2018-06-29,2018-06-29 05:18:04-04:00,0.0,0.0,1.0,0.0
129,CBS News,"Walgreens' Dow entrance is a bust, thanks to Amazon https://t.co/CqoYud1Uih https://t.co/q3NkcyEqJ6",2018-06-29,2018-06-29 05:03:03-04:00,0.5574,0.0,0.635,0.365
130,CBS News,"After father's mysterious slaying at campsite, stories emerge of past shooting incidents https://t.co/iZxJxiD5Ni https://t.co/68MxKUMQy3",2018-06-29,2018-06-29 04:48:03-04:00,0.0,0.0,1.0,0.0
131,CBS News,German police investigate 21 deaths linked to poisoned sandwich case https://t.co/qAqzFqn5CL https://t.co/RB7i1m8AA9,2018-06-29,2018-06-29 04:33:04-04:00,-0.4939,0.225,0.775,0.0
132,CBS News,Portland ICE facility protesters moved by Homeland Security agents https://t.co/JrS6Pmdy9o https://t.co/7Z2xKZEV7s,2018-06-29,2018-06-29 04:18:04-04:00,0.128,0.143,0.677,0.18
